title_en;title_nl;accessRights;applicableLegislation;contactPoint_name;contactPoint_email;creator_name;creator_email;creator_identifier;creator_url;description_en;description_nl;identifier;keywords;publisher_name_en;publisher_name_nl;publisher_email;publisher_identifier;publisher_url;theme;numberOfUniqueIndividuals;numberOfRecords
HAH CURA HIN6;HAH CURA HIN6;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;Prof. dr. H.C.J. (Jeroen) Eikenboom;H.C.J.Eikenboom@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;118;131
HAH CURA TROEMB;HAH CURA TROEMB;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;dr. T.E. (Thijs) van Mens;T.E.van_Mens@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;3;6
HAH PSI HEMO;HAH PSI HEMO;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;Prof. dr. H.C.J. (Jeroen) Eikenboom;H.C.J.Eikenboom@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;119;488
HLK CURA DUN;HLK CURA DUN;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;Prof. dr. Nicole Bouvy;n.d.bouvy@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;519;1534
HLK CURA MAMMA;HLK CURA MAMMA;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;dr. W.E. (Wilma) Mesker;W.E.Mesker@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;89;139
HRT CURA ACHD;HRT CURA ACHD;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;Prof. dr. M.R.M. (Monique) Jongbloed;M.R.M.Jongbloed@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;112;248
HRT CURA BIOH;HRT CURA BIOH;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;dr. L.F. (Laurens) Tops;L.F.Tops@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;21;117
HRT CURA FULST;HRT CURA FULST;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;Prof. dr. M.R.M. (Monique) Jongbloed;M.R.M.Jongbloed@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;251;740
HRT CURA IHZ;HRT CURA IHZ;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;Prof. dr. J.W. (Wouter) Jukema;J.W.Jukema@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;683;398
HRT CURA MINOCA;HRT CURA MINOCA;RESTRICTED;https://eur-lex.europa.eu/eli/reg/2025/327/oj;LUMC Biobankorganisatie;biobankorganisatie@lumc.nl;Prof. dr. J.W. (Wouter) Jukema;J.W.Jukema@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;https://ror.org/05xvt9f17;Lorem, ipsum, dolor, sit, amet;Leiden University Medical Center;Leids Universitair Medisch Centrum;biobankorganisatie@lumc.nl;https://ror.org/05xvt9f17;https://www.lumc.nl;HEAL;111;228
